state,0,1,2,3,4,5,6,7,8
eoxoxxeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeexeeeo,-3.4884000000000004,0.0,1.1016,-3.4884000000000004,0.0,0.4446,0.0,2.4,0.0
exeexoeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeexeeoo,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
exeexexoo,-5.1,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
oxeexexoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexexeeee,0.0,0.0,0.0,0.10512,0.0,-3.9984,2.4,-3.0,-5.922
oexexeeeo,0.0,13.8,0.0,0.0,0.0,0.0,30.0,14.1,0.0
eeeexxoee,0.0,-2.7,-4.59,0.0,0.0,0.0,0.0,0.0,0.0
eeoexxoee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeeexexee,0.0,-1.314,0.0,-3.3,0.0,-3.0,0.0,-3.0,0.0
ooeexexee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeexxeeoe,-2.7,-5.609999999999999,0.0,0.0,0.0,-0.51,0.0,0.0,0.0
eoexxeeoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooeexxeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxeexeeee,0.0,0.0,-2.7,-0.8319300000000001,0.0,-2.7,0.0,0.0,-2.7
oxeexeeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexexeeoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeexxeoex,0.0,-0.3,-0.3,0.0,0.0,0.0,0.0,-5.1,0.0
oeexxeoox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xexoxeoee,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
xoxoxeoee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeoxexoe,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oexexeoee,0.0,0.0,0.0,0.0,0.0,3.2754,0.0,0.0,1.02
xeoexeeee,0.0,-4.119127199999999,0.0,-2.90976,0.0,0.0,-1.5808799999999998,-2.90976,5.256
xeoexeeeo,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
eeoexeexe,1.1016,2.4,0.0,0.0,0.0,0.0,-3.4884000000000004,0.0,0.0
eooexeexe,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
oeoxxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeoexxeeo,0.0,-8.82351,0.0,0.0,0.0,0.0,-0.3,-0.51,0.0
xooexxeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxooxxeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxooxxoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2670.0,0.0
xexoxeoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeeexeoeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeooxeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexexoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeooxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoexxeeee,-0.3,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0
ooexxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999
xeooxxexo,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,0.0,0.0
xeooxxoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exoexeeee,-5.913,0.0,0.0,-6.8391,0.0,-0.3,-5.913,0.0,0.0
exooxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoxxoeee,4.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
xooexeexe,0.0,0.0,0.0,-1.89245136,0.0,0.0816,0.0,0.0,4.102032
xooexeexo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoexxeoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xooxxeoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoexeoxe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
