state,0,1,2,3,4,5,6
x   xxo xoo ox ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   xxo xoo oxo ox ,0.0,0.0,0.0,-2.4,0.0,0.0,0.0
x   xxox xoo oxo ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  o     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  ox     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x     o  ,0.973023306,1.3815678,0.6,0.762,0.87248704014,0.3309497999999999,0.486423306
x  x   o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  x  o o  ,0.0,0.0,0.0,1.5,0.0,0.0,0.0
x  x x o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xox o      ,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
xox o     x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  o o    ,-1.7999999999999998,0.0,0.0,0.0,-0.6,0.0,0.0
xxxox  o o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o o o  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  o o x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo o o o x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo o o ox x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o oo oxo x   ,-4.2,0.0,0.0,0.0,0.0,0.0,0.0
xxxoxx o oo oxo x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx o      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx o o     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx o o   x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
      xo ,0.0,0.0,0.0,0.0,0.6,0.0,0.0
    x  xo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx   ooo x   ,0.0,0.0,0.0,0.0,-0.8999999999999999,0.0,0.0
xx   ooo xx   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx      oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx     o oox ,2.7,0.0,2.529,0.0,0.0,0.0,0.0
xxx     o oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  x   o oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  x  o o oox ,0.0,0.0,0.0,3.3,0.0,0.0,0.0
xx  x x o o oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o xo x o o oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o xo x o ox oox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 xx    o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x xx   o o o ,0.0,0.0,0.0,2.7,0.0,0.0,0.0
x xx  x o o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx xx o x o oo o ,0.0,0.0,0.0,4.5,0.0,0.0,0.0
xx xx o xx o oo o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo xx oo xx o oo o ,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998
xxxo xx oo xx o oo ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo xx ooo xx o oo ox ,0.0,0.0,0.0,1.2,0.0,0.0,0.0
xxxo xx ooo xxx o oo ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x    x o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x    x o o ,0.0,0.0,0.0,0.0,0.6,0.0,0.0
x    xx o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x    o  x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o x x o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o x x o ox  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o x x o ox o ,0.0,0.0,0.0,0.0,0.0,0.0,1.2
x o x x o ox ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o x xo o ox ox ,0.0,0.0,0.0,0.0,1.2,0.0,0.0
x o x xo ox ox ox ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx    o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx   o o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx   o o x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  o ox o x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox ooo      ,0.0,0.0,0.0,0.0,0.0,0.0,-3.9
xxxox ooo     x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x x    o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoxx o o     ,0.3,0.0,0.0,0.0,0.0,0.0,0.0
xoxxx o o     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x     ox  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x     x o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
